country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website,year,month,day,month_ab,month_name
Jordan,JOR,2021-09-11,6639608.0,3562904.0,3076704.0,18128.0,23031.0,64.66,34.7,29.96,2243.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/,2021,9,11,Sep,September
Falkland Islands,FLK,2021-04-11,,,,,83.0,,,,23526.0,Oxford/AstraZeneca,Government of the Falkland Islands,https://www.facebook.com/FalkIandsGov/posts/4401230323224594,2021,4,11,Apr,April
South Korea,KOR,2021-03-08,421649.0,408769.0,13030.0,68292.0,52585.0,0.82,0.8,0.03,1025.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",Korea Centers for Disease Control and Prevention,https://ncv.kdca.go.kr/,2021,3,8,Mar,March
Cayman Islands,CYM,2021-04-10,,,,,766.0,,,,11519.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/,2021,4,10,Apr,April
Namibia,NAM,2021-09-24,,,,,4168.0,,,,1611.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Africa Centres for Disease Control and Prevention,https://covid19.who.int/,2021,9,24,Sep,September
Afghanistan,AFG,2022-01-14,,,,,13458.0,,,,338.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/,2022,1,14,Jan,January
Philippines,PHL,2022-01-02,,,,,579259.0,,,,5216.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",Department of Health via ABS-CBN Investigative and Research Group,https://news.abs-cbn.com/spotlight/multimedia/infographic/03/23/21/philippines-covid-19-vaccine-tracker,2022,1,2,Jan,January
Greece,GRC,2021-04-26,2883199.0,2032090.0,851099.0,,48149.0,27.8,19.59,8.21,4643.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/,2021,4,26,Apr,April
Djibouti,DJI,2022-02-16,,,,,464.0,,,,463.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/,2022,2,16,Feb,February
Colombia,COL,2021-08-29,35172185.0,23288536.0,14653162.0,100235.0,252403.0,68.61,45.43,28.58,4923.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://docs.google.com/spreadsheets/d/1eblBeozGn1soDGXbOIicwyEDkUqNMzzpJoAKw84TTA4,2021,8,29,Aug,August
England,OWID_ENG,2021-10-22,84521609.0,41604013.0,38144896.0,312338.0,264135.0,149.46,73.57,67.45,4671.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations,2021,10,22,Oct,October
Netherlands,NLD,2021-10-13,,,,,15075.0,,,,878.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech","European CDC, via Marino van Zelst",https://github.com/mzelst/covid-19,2021,10,13,Oct,October
Madagascar,MDG,2021-06-30,,,,,722.0,,,,25.0,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/,2021,6,30,Jun,June
Honduras,HND,2022-03-19,,,,,14295.0,,,,1421.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",World Health Organization,https://covid19.who.int/,2022,3,19,Mar,March
Senegal,SEN,2021-09-20,,,,,2852.0,,,,166.0,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/,2021,9,20,Sep,September
South Africa,ZAF,2021-12-05,26348830.0,17840592.0,14948436.0,24447.0,141000.0,43.88,29.71,24.9,2348.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/latest-vaccine-statistics/,2021,12,5,Dec,December
Croatia,HRV,2021-09-07,,,,,5193.0,,,,1272.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr,2021,9,7,Sep,September
Germany,DEU,2021-06-20,67390228.0,42925408.0,26150197.0,295556.0,853968.0,80.32,51.16,31.17,10178.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/,2021,6,20,Jun,June
Tanzania,TZA,2022-01-27,,,,,36266.0,,,,590.0,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/,2022,1,27,Jan,January
Timor,TLS,2021-11-21,,,,,7123.0,,,,5300.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",World Health Organization,https://covid19.who.int/,2021,11,21,Nov,November
Kuwait,KWT,2022-01-01,,,,,15791.0,,,,3648.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/,2022,1,1,Jan,January
Greenland,GRL,2021-12-09,,,,,31.0,,,,545.0,Moderna,Government of Greenland,https://corona.nun.gl,2021,12,9,Dec,December
Dominica,DMA,2021-11-29,55524.0,28764.0,26760.0,,39.0,76.93,39.85,37.08,540.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,2021,11,29,Nov,November
Lebanon,LBN,2022-02-05,4956907.0,2450663.0,2043866.0,2949.0,12860.0,73.23,36.2,30.19,1900.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Lebanon,https://impact.cib.gov.lb/home/dashboard/vaccine,2022,2,5,Feb,February
Guyana,GUY,2022-01-13,,,,,2051.0,,,,2595.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,2022,1,13,Jan,January
United Kingdom,GBR,2022-03-01,139927804.0,52640258.0,49029528.0,43493.0,48021.0,205.15,77.18,71.88,704.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations,2022,3,1,Mar,March
Slovenia,SVN,2021-06-24,1441465.0,831205.0,657971.0,25727.0,11289.0,69.34,39.99,31.65,5431.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",National Institute of Public Health via covid-19.sledilnik.org,https://covid-19.sledilnik.org/sl/stats,2021,6,24,Jun,June
Azerbaijan,AZE,2022-03-27,13405920.0,5321389.0,4818792.0,10095.0,5348.0,131.13,52.05,47.14,523.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Government of Azerbaijan,https://koronavirusinfo.az,2022,3,27,Mar,March
South Africa,ZAF,2021-03-05,100180.0,100180.0,100180.0,8151.0,5219.0,0.17,0.17,0.17,87.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/latest-vaccine-statistics/,2021,3,5,Mar,March
Iraq,IRQ,2022-03-17,,,,,31476.0,,,,764.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/,2022,3,17,Mar,March
Sweden,SWE,2021-09-12,13324074.0,6975923.0,6226714.0,,40738.0,131.14,68.66,61.29,4010.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health Agency of Sweden,https://fohm.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/statistik-och-analyser/statistik-over-registrerade-vaccinationer-covid-19/,2021,9,12,Sep,September
Pakistan,PAK,2021-03-09,,,,,13196.0,,,,59.0,"CanSino, Covaxin, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",National Command and Operation Centre,https://ncoc.gov.pk/covid-vaccination-en.php,2021,3,9,Mar,March
United States,USA,2021-01-17,19017951.0,16180031.0,2480400.0,305189.0,1026049.0,5.73,4.87,0.75,3090.0,"Johnson&Johnson, Moderna, Pfizer/BioNTech",Centers for Disease Control and Prevention,https://data.cdc.gov/Vaccinations/COVID-19-Vaccination-Trends-in-the-United-States-N/rh2h-3yt2,2021,1,17,Jan,January
Sudan,SDN,2021-08-25,,,,,18822.0,,,,419.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/,2021,8,25,Aug,August
Slovakia,SVK,2021-12-17,,,,,23651.0,,,,4340.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",Ministry of Health,https://github.com/Institut-Zdravotnych-Analyz/covid19-data/raw/main/Vaccination/OpenData_Slovakia_Vaccination_AgeGroup_District.csv,2021,12,17,Dec,December
Ukraine,UKR,2021-06-20,2086492.0,1726040.0,360842.0,4390.0,52570.0,4.8,3.97,0.83,1209.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://health-security.rnbo.gov.ua,2021,6,20,Jun,June
Russia,RUS,2021-08-01,62225609.0,36759116.0,25466493.0,323531.0,675969.0,42.65,25.19,17.45,4633.0,"EpiVacCorona, Sputnik V",Official data from local governments via gogov.ru,https://gogov.ru/articles/covid-v-stats,2021,8,1,Aug,August
Poland,POL,2022-02-10,52531873.0,22430286.0,21953194.0,80960.0,76542.0,138.98,59.34,58.08,2025.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19,2022,2,10,Feb,February
French Polynesia,PYF,2022-02-15,,,,,190.0,,,,672.0,"Johnson&Johnson, Pfizer/BioNTech",SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,2022,2,15,Feb,February
El Salvador,SLV,2021-10-19,,,,,25678.0,,,,3939.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Ministry of Health,https://covid19.gob.sv/,2021,10,19,Oct,October
Nepal,NPL,2021-09-12,10940301.0,5773612.0,5166689.0,10449.0,73051.0,36.87,19.46,17.41,2462.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.mohp.gov.np/situation-report,2021,9,12,Sep,September
Solomon Islands,SLB,2021-09-16,,,,,1775.0,,,,2521.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,2021,9,16,Sep,September
Vanuatu,VUT,2021-07-06,10480.0,10480.0,,,201.0,3.33,3.33,,639.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,2021,7,6,Jul,July
South Sudan,SSD,2021-12-25,,,,,810.0,,,,71.0,"Johnson&Johnson, Oxford/AstraZeneca",World Health Organization,https://covid19.who.int/,2021,12,25,Dec,December
Azerbaijan,AZE,2021-06-07,2546770.0,1611499.0,935271.0,601.0,41936.0,24.91,15.76,9.15,4102.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Government of Azerbaijan,https://koronavirusinfo.az,2021,6,7,Jun,June
Samoa,WSM,2021-11-20,,,,,1437.0,,,,7180.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,2021,11,20,Nov,November
Cayman Islands,CYM,2021-03-21,,,,,929.0,,,,13970.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/,2021,3,21,Mar,March
Saint Vincent and the Grenadines,VCT,2021-06-10,22746.0,,,,189.0,20.44,,,1699.0,Oxford/AstraZeneca,Ministry of Health,https://web.facebook.com/SVGHEALTH/posts/437021804887233,2021,6,10,Jun,June
Oman,OMN,2022-03-12,,,,,4877.0,,,,934.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/,2022,3,12,Mar,March
Ghana,GHA,2021-05-12,,,,,46.0,,,,1.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://africacdc.org/covid-19-vaccination/,2021,5,12,May,May
Montenegro,MNE,2021-12-30,632636.0,283588.0,272385.0,2002.0,1603.0,100.73,45.15,43.37,2552.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Montenegro,https://www.covidodgovor.me/,2021,12,30,Dec,December
South Africa,ZAF,2021-10-16,,,,,173262.0,,,,2886.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/latest-vaccine-statistics/,2021,10,16,Oct,October
Burkina Faso,BFA,2021-09-08,,,,,4780.0,,,,222.0,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/,2021,9,8,Sep,September
United Kingdom,GBR,2021-10-06,95895401.0,49068705.0,45078529.0,223501.0,314130.0,140.59,71.94,66.09,4606.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations,2021,10,6,Oct,October
Romania,ROU,2021-03-09,1910020.0,1246378.0,663642.0,48200.0,45037.0,9.99,6.52,3.47,2355.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania via datelazi.ro,https://datelazi.ro/,2021,3,9,Mar,March
India,IND,2021-10-09,943033918.0,679245181.0,263788737.0,7814151.0,6004235.0,67.68,48.75,18.93,4309.0,"Covaxin, Oxford/AstraZeneca, Sputnik V",Government of India,https://dashboard.cowin.gov.in/,2021,10,9,Oct,October
Bahrain,BHR,2021-10-18,2711191.0,1171211.0,1134060.0,3032.0,5945.0,155.08,66.99,64.87,3400.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik Light, Sputnik V",Ministry of Health,https://covid19.who.int/,2021,10,18,Oct,October
Belize,BLZ,2021-12-12,,,,,684.0,,,,1689.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,2021,12,12,Dec,December
Ukraine,UKR,2021-02-24,159.0,159.0,,,,0.0,0.0,,,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://health-security.rnbo.gov.ua,2021,2,24,Feb,February
El Salvador,SLV,2021-03-07,,,,,529.0,,,,81.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Ministry of Health,https://covid19.gob.sv/,2021,3,7,Mar,March
Aruba,ABW,2022-01-10,164295.0,85073.0,79222.0,,67.0,153.27,79.36,73.9,625.0,Pfizer/BioNTech,Government of Aruba,https://www.government.aw,2022,1,10,Jan,January
San Marino,SMR,2021-11-11,,,,,15.0,,,,441.0,"Pfizer/BioNTech, Sputnik V",World Health Organization,https://covid19.who.int/,2021,11,11,Nov,November
Grenada,GRD,2021-09-13,,,,,431.0,,,,3814.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,2021,9,13,Sep,September
Turks and Caicos Islands,TCA,2021-05-28,36170.0,20760.0,15410.0,,451.0,92.21,52.92,39.29,11497.0,Pfizer/BioNTech,World Health Organization,https://covid19.who.int/,2021,5,28,May,May
Ecuador,ECU,2021-08-18,16728651.0,10632145.0,6111379.0,384217.0,258385.0,93.52,59.44,34.16,14444.0,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Ecuador via Ecuacovid,https://github.com/andrab/ecuacovid,2021,8,18,Aug,August
Seychelles,SYC,2021-02-22,,,,,1403.0,,,,14185.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/,2021,2,22,Feb,February
Eswatini,SWZ,2021-07-09,,,,,821.0,,,,700.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/,2021,7,9,Jul,July
Denmark,DNK,2021-05-22,2957168.0,1813853.0,1143152.0,37811.0,50934.0,50.87,31.2,19.66,8762.0,"Johnson&Johnson, Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/download-fil-med-vaccinationsdata,2021,5,22,May,May
England,OWID_ENG,2022-01-26,115468142.0,43952197.0,40495461.0,84931.0,89676.0,204.19,77.72,71.61,1586.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations,2022,1,26,Jan,January
Austria,AUT,2021-03-13,,,,,36663.0,,,,4054.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea,2021,3,13,Mar,March
Montserrat,MSR,2021-12-14,,,,,2.0,,,,402.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/,2021,12,14,Dec,December
San Marino,SMR,2021-10-26,,,,,8.0,,,,235.0,"Pfizer/BioNTech, Sputnik V",World Health Organization,https://covid19.who.int/,2021,10,26,Oct,October
Faeroe Islands,FRO,2021-12-12,,,,,323.0,,,,6585.0,"Moderna, Pfizer/BioNTech",Government of the Faeroe Islands,https://corona.fo/api,2021,12,12,Dec,December
Tokelau,TKL,2021-07-24,,,,,23.0,,,,16813.0,Pfizer/BioNTech,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,2021,7,24,Jul,July
Luxembourg,LUX,2021-10-01,791478.0,418935.0,,1968.0,1251.0,124.68,65.99,,1971.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Luxembourg,https://data.public.lu/en/datasets/donnees-covid19/#_,2021,10,1,Oct,October
Lesotho,LSO,2021-11-16,,,,,6167.0,,,,2856.0,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/,2021,11,16,Nov,November
French Polynesia,PYF,2021-10-04,,,,,688.0,,,,2435.0,"Johnson&Johnson, Pfizer/BioNTech",SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,2021,10,4,Oct,October
Iraq,IRQ,2021-11-21,11380981.0,7055224.0,4325757.0,,96104.0,27.64,17.13,10.5,2334.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/,2021,11,21,Nov,November
New Caledonia,NCL,2021-06-04,,,,,863.0,,,,2994.0,Pfizer/BioNTech,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,2021,6,4,Jun,June
Cape Verde,CPV,2021-09-21,,,,,2915.0,,,,5188.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/,2021,9,21,Sep,September
San Marino,SMR,2021-10-31,47502.0,,,,28.0,139.67,,,823.0,"Pfizer/BioNTech, Sputnik V",World Health Organization,https://covid19.who.int/,2021,10,31,Oct,October
Tokelau,TKL,2021-09-26,,,,,17.0,,,,12427.0,Pfizer/BioNTech,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,2021,9,26,Sep,September
South Africa,ZAF,2021-05-02,,,,,3834.0,,,,64.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/latest-vaccine-statistics/,2021,5,2,May,May
Aruba,ABW,2022-03-17,168495.0,87725.0,80770.0,53.0,27.0,157.19,81.84,75.35,252.0,Pfizer/BioNTech,Government of Aruba,https://www.government.aw,2022,3,17,Mar,March
Vanuatu,VUT,2022-01-04,,,,,736.0,,,,2340.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,2022,1,4,Jan,January
Lesotho,LSO,2022-03-07,,,,,1358.0,,,,629.0,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/,2022,3,7,Mar,March
Switzerland,CHE,2021-08-09,9191350.0,4795848.0,4484953.0,22701.0,19674.0,105.46,55.03,51.46,2257.0,"Johnson&Johnson, Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://opendata.swiss/en/dataset/covid-19-schweiz?detGeo=CH,2021,8,9,Aug,August
Lithuania,LTU,2020-12-27,2417.0,2417.0,,,,0.09,0.09,,,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://experience.arcgis.com/experience/cab84dcfe0464c2a8050a78f817924ca/page/page_3/,2020,12,27,Dec,December
United Kingdom,GBR,2021-07-30,84887713.0,46777556.0,38110157.0,207820.0,200188.0,124.46,68.58,55.87,2935.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations,2021,7,30,Jul,July
Saint Lucia,LCA,2021-07-17,,,,,147.0,,,,797.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,2021,7,17,Jul,July
Italy,ITA,2021-01-30,1984744.0,1395898.0,588864.0,90792.0,77145.0,3.29,2.31,0.98,1278.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency,https://raw.githubusercontent.com/italia/covid19-opendata-vaccini/master/dati/somministrazioni-vaccini-latest.csv,2021,1,30,Jan,January
Nicaragua,NIC,2021-07-25,,,,,5140.0,,,,767.0,"Abdala, Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Soberana02, Sputnik Light, Sputnik V",World Health Organization,https://covid19.who.int/,2021,7,25,Jul,July
Nepal,NPL,2021-05-30,2802596.0,2113080.0,689516.0,2577.0,19418.0,9.44,7.12,2.32,654.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.mohp.gov.np/situation-report,2021,5,30,May,May
Indonesia,IDN,2021-12-01,236724392.0,140205046.0,96519346.0,1885086.0,1346937.0,85.66,50.73,34.92,4874.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Government of Indonesia,https://data.covid19.go.id/public/index.html,2021,12,1,Dec,December
Iceland,ISL,2021-05-27,243924.0,169570.0,87815.0,,2696.0,66.14,45.98,23.81,7310.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni,2021,5,27,May,May
Iceland,ISL,2021-04-14,95439.0,67158.0,28281.0,,2391.0,25.88,18.21,7.67,6483.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni,2021,4,14,Apr,April
Norway,NOR,2021-11-14,8264861.0,4230882.0,3787185.0,104.0,16957.0,151.22,77.41,69.29,3102.0,"Moderna, Pfizer/BioNTech",Norwegian Institute of Public Health,https://github.com/folkehelseinstituttet/surveillance_data,2021,11,14,Nov,November
Solomon Islands,SLB,2021-12-08,,,,,1605.0,,,,2280.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,2021,12,8,Dec,December
Mexico,MEX,2021-12-26,,,,,982087.0,,,,7539.0,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/712810/2022.03.29_17h00_ComunicadoTecnicoDiario_Covid19__1_.pdf,2021,12,26,Dec,December
Czechia,CZE,2022-01-30,17030002.0,6925926.0,6782634.0,4815.0,32598.0,158.79,64.58,63.24,3040.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19,2022,1,30,Jan,January
England,OWID_ENG,2021-04-18,36147077.0,27628579.0,8518498.0,265069.0,385879.0,63.92,48.86,15.06,6824.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations,2021,4,18,Apr,April
Nepal,NPL,2021-12-30,,,,,219116.0,,,,7384.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.mohp.gov.np/situation-report,2021,12,30,Dec,December
Czechia,CZE,2022-03-28,17489352.0,6951060.0,6858228.0,2788.0,3074.0,163.08,64.81,63.95,287.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19,2022,3,28,Mar,March
Mali,MLI,2021-04-07,,,,,1889.0,,,,91.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/,2021,4,7,Apr,April
Bolivia,BOL,2021-11-07,7943468.0,4619842.0,3913343.0,3132.0,17874.0,67.13,39.04,33.07,1511.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health via https://www.boligrafica.com/,https://github.com/dquintani/vacunacion/,2021,11,7,Nov,November
Papua New Guinea,PNG,2022-01-15,,,,,360.0,,,,39.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,2022,1,15,Jan,January
Chad,TCD,2022-01-08,,,,,2544.0,,,,150.0,Sinopharm/Beijing,Africa Centres for Disease Control and Prevention,https://covid19.who.int/,2022,1,8,Jan,January
